1.615,0.39,-0.464,biceps-curl,,,
1.666,1.087,-1.023,biceps-curl,,,
0.183,0.945,-0.762,biceps-curl,,,
0.118,0.83,-0.691,biceps-curl,,,
0.327,0.175,-0.531,biceps-curl,,,
0.399,-0.086,-0.598,biceps-curl,,,
0.449,-0.293,-0.535,biceps-curl,,,
0.511,-0.809,-0.429,biceps-curl,,,
0.982,0.338,-0.817,biceps-curl,,,
1.598,1.411,-0.866,biceps-curl,,,
2.098,-0.508,-0.204,biceps-curl,,,
1.936,-0.941,-0.369,biceps-curl,,,
0.545,-0.563,-0.669,biceps-curl,,,
0.469,-0.527,-0.536,biceps-curl,,,
0.166,-0.124,-0.613,biceps-curl,,,
0.325,-0.077,-0.483,biceps-curl,,,
0.487,-0.111,-0.484,biceps-curl,,,
0.466,-0.102,-0.522,biceps-curl,,,
0.517,-0.023,-0.394,biceps-curl,,,
0.587,0.029,-0.353,biceps-curl,,,
0.633,0.082,-0.305,biceps-curl,,,
0.685,0.174,-0.332,biceps-curl,,,
0.724,0.225,-0.295,biceps-curl,,,
0.744,0.264,-0.264,biceps-curl,,,
0.767,0.28,-0.254,biceps-curl,,,
0.789,0.313,-0.223,biceps-curl,,,
0.785,0.399,-0.198,biceps-curl,,,
0.747,0.438,-0.152,biceps-curl,,,
0.71,0.427,-0.097,biceps-curl,,,
0.675,0.409,-0.044,biceps-curl,,,
0.681,0.432,-0.015,biceps-curl,,,
0.718,0.432,0.024,biceps-curl,,,
0.779,0.43,0.074,biceps-curl,,,
0.881,0.421,-0.001,biceps-curl,,,
1.008,0.403,-0.056,biceps-curl,,,
1.133,0.364,-0.044,biceps-curl,,,
1.21,0.31,0.007,biceps-curl,,,
1.255,0.254,0.049,biceps-curl,,,
1.245,0.259,0.05,biceps-curl,,,
1.24,0.22,-0.032,biceps-curl,,,
1.24,0.184,-0.063,biceps-curl,,,
1.25,0.109,0.043,biceps-curl,,,
1.269,0.085,0.059,biceps-curl,,,
1.286,0.131,0.04,biceps-curl,,,
1.286,0.153,0.046,biceps-curl,,,
1.304,0.096,0.072,biceps-curl,,,
1.331,0.082,0.069,biceps-curl,,,
1.327,0.111,0.073,biceps-curl,,,
1.256,0.287,0.29,biceps-curl,,,
1.168,0.4,-0.079,biceps-curl,,,
1.041,0.384,-0.136,biceps-curl,,,
1.237,0.243,0.17,biceps-curl,,,
1.386,-0.068,-0.022,biceps-curl,,,
1.478,-0.184,-0.206,biceps-curl,,,
1.515,-0.134,-0.032,biceps-curl,,,
1.512,-0.033,0.166,biceps-curl,,,
1.466,0.011,0.195,biceps-curl,,,
1.407,0.04,0.07,biceps-curl,,,
1.354,0.061,-0.006,biceps-curl,,,
1.323,0.078,-0.044,biceps-curl,,,
1.312,0.033,-0.017,biceps-curl,,,
1.265,0.009,0.037,biceps-curl,,,
1.181,0.017,0.175,biceps-curl,,,
1.15,0.024,0.15,biceps-curl,,,
1.077,0.018,0.092,biceps-curl,,,
0.994,0.012,0.068,biceps-curl,,,
0.92,0.016,0.041,biceps-curl,,,
0.858,0.054,0.024,biceps-curl,,,
0.766,0.06,0.012,biceps-curl,,,
0.653,0.119,0.155,biceps-curl,,,
0.578,0.182,0.028,biceps-curl,,,
0.566,0.146,-0.112,biceps-curl,,,
0.543,0.169,-0.012,biceps-curl,,,
0.547,0.15,-0.028,biceps-curl,,,
0.582,0.077,-0.031,biceps-curl,,,
0.629,0.072,-0.075,biceps-curl,,,
0.699,0.095,-0.087,biceps-curl,,,
0.763,0.107,-0.149,biceps-curl,,,
0.821,0.055,-0.166,biceps-curl,,,
0.867,0.137,-0.132,biceps-curl,,,
1.026,0.129,-0.382,biceps-curl,,,
1.164,0.207,-0.075,biceps-curl,,,
1.234,0.313,-0.02,biceps-curl,,,
1.29,0.341,-0.145,biceps-curl,,,
1.27,0.42,-0.209,biceps-curl,,,
1.198,0.467,-0.211,biceps-curl,,,
1.155,0.511,-0.198,biceps-curl,,,
1.123,0.604,-0.138,biceps-curl,,,
1.094,0.67,0.012,biceps-curl,,,
1.074,0.68,-0.013,biceps-curl,,,
1.049,0.672,-0.054,biceps-curl,,,
1.032,0.712,-0.136,biceps-curl,,,
1.032,0.712,-0.136,biceps-curl,,,
1.016,0.782,-0.082,biceps-curl,,,
0.986,0.845,-0.065,biceps-curl,,,
0.947,0.863,-0.101,biceps-curl,,,
0.878,0.864,-0.097,biceps-curl,,,
0.808,0.9,-0.16,biceps-curl,,,
0.716,0.918,-0.175,biceps-curl,,,
0.622,0.934,-0.142,biceps-curl,,,
0.561,0.909,-0.129,biceps-curl,,,
0.5,0.93,-0.193,biceps-curl,,,
0.386,0.898,-0.252,biceps-curl,,,
0.323,0.851,-0.276,biceps-curl,,,
0.227,0.822,-0.238,biceps-curl,,,
0.129,0.834,-0.195,biceps-curl,,,
0.058,0.766,-0.236,biceps-curl,,,
-0.021,0.686,-0.239,biceps-curl,,,
-0.097,0.599,-0.205,biceps-curl,,,
-0.178,0.589,-0.25,biceps-curl,,,
-0.249,0.559,-0.234,biceps-curl,,,
-0.316,0.437,-0.124,biceps-curl,,,
-0.373,0.362,-0.144,biceps-curl,,,
-0.406,0.32,-0.261,biceps-curl,,,
-0.452,0.238,-0.254,biceps-curl,,,
-0.489,0.179,-0.221,biceps-curl,,,
-0.496,0.176,-0.315,biceps-curl,,,
-0.508,0.192,-0.38,biceps-curl,,,
-0.524,0.208,-0.356,biceps-curl,,,
-0.546,0.231,-0.333,biceps-curl,,,
-0.554,0.252,-0.387,biceps-curl,,,
-0.539,0.276,-0.415,biceps-curl,,,
-0.541,0.307,-0.333,biceps-curl,,,
-0.53,0.312,-0.352,biceps-curl,,,
-0.523,0.335,-0.366,biceps-curl,,,
-0.523,0.39,-0.325,biceps-curl,,,
-0.499,0.413,-0.364,biceps-curl,,,
-0.453,0.466,-0.434,biceps-curl,,,
-0.41,0.609,-0.467,biceps-curl,,,
-0.414,0.611,-0.488,biceps-curl,,,
-0.402,0.579,-0.431,biceps-curl,,,
-0.368,0.673,-0.362,biceps-curl,,,
-0.307,0.709,-0.492,biceps-curl,,,
-0.278,0.724,-0.535,biceps-curl,,,
-0.217,0.72,-0.528,biceps-curl,,,
-0.139,0.805,-0.521,biceps-curl,,,
-0.108,0.838,-0.464,biceps-curl,,,
-0.075,0.88,-0.355,biceps-curl,,,
-0.027,0.878,-0.379,biceps-curl,,,
0.028,0.859,-0.406,biceps-curl,,,
0.089,0.907,-0.376,biceps-curl,,,
0.106,0.966,-0.377,biceps-curl,,,
0.184,0.913,-0.408,biceps-curl,,,
0.232,0.991,-0.392,biceps-curl,,,
0.271,1.039,-0.392,biceps-curl,,,
0.371,0.941,-0.301,biceps-curl,,,
0.406,0.966,-0.318,biceps-curl,,,
0.415,0.99,-0.247,biceps-curl,,,
0.473,0.935,-0.276,biceps-curl,,,
0.536,0.963,-0.294,biceps-curl,,,
0.537,0.961,-0.228,biceps-curl,,,
0.589,0.887,-0.223,biceps-curl,,,
0.62,0.807,-0.165,biceps-curl,,,
0.675,0.805,-0.254,biceps-curl,,,
0.676,0.777,-0.156,biceps-curl,,,
0.714,0.762,-0.12,biceps-curl,,,
0.746,0.725,-0.202,biceps-curl,,,
0.775,0.735,-0.158,biceps-curl,,,
0.773,0.694,-0.083,biceps-curl,,,
0.817,0.672,-0.134,biceps-curl,,,
0.84,0.688,-0.163,biceps-curl,,,
0.845,0.614,-0.145,biceps-curl,,,
0.858,0.568,-0.101,biceps-curl,,,
0.878,0.549,-0.109,biceps-curl,,,
0.902,0.555,-0.119,biceps-curl,,,
0.903,0.55,-0.13,biceps-curl,,,
0.892,0.54,-0.092,biceps-curl,,,
0.913,0.515,-0.048,biceps-curl,,,
0.948,0.48,-0.072,biceps-curl,,,
0.975,0.464,-0.058,biceps-curl,,,
0.999,0.427,-0.057,biceps-curl,,,
1.015,0.413,-0.111,biceps-curl,,,
1.024,0.41,-0.133,biceps-curl,,,
1.04,0.352,-0.117,biceps-curl,,,
1.058,0.334,-0.018,biceps-curl,,,
1.051,0.359,0.068,biceps-curl,,,
1.053,0.379,0.047,biceps-curl,,,
1.04,0.376,-0.04,biceps-curl,,,
1.012,0.397,-0.058,biceps-curl,,,
0.984,0.419,-0.05,biceps-curl,,,
0.986,0.456,-0.024,biceps-curl,,,
0.996,0.484,-0.07,biceps-curl,,,
1.012,0.494,-0.138,biceps-curl,,,
1.022,0.501,-0.124,biceps-curl,,,
1.015,0.559,-0.061,biceps-curl,,,
1.011,0.596,-0.127,biceps-curl,,,
1.024,0.617,-0.159,biceps-curl,,,
1.022,0.632,-0.153,biceps-curl,,,
1.008,0.692,-0.163,biceps-curl,,,
